occupancy,median,lower,upper,lower_whisker,upper_whisker
0,0.367870450019836,0.367845196276903,0.367876637727022,0.367828309535980,0.367910355329514
1,0.367901414632797,0.367872178554535,0.367914054542780,0.367811962962151,0.367948040366173
2,0.183945730328560,0.183932691812515,0.183974072337151,0.183906733989716,0.184009000658989
3,0.061306275427341,0.061301048845053,0.061316989362240,0.061277138069272,0.061340900138021
4,0.015321597456932,0.015319976955652,0.015326343476772,0.015313133597374,0.015335893258452
5,0.003062196075916,0.003059893846512,0.003068581223488,0.003056064248085,0.003074392676353
6,0.000510878860950,0.000510420650244,0.000511866062880,0.000508252531290,0.000514015555382
7,0.000072903931141,0.000072304159403,0.000073965638876,0.000071018934250,0.000075116753578
8,0.000009134411812,0.000009056180716,0.000009335577488,0.000008637085557,0.000009754672647
9,0.000000953674316,0.000000882893801,0.000001084059477,0.000000849366188,0.000001192092896
10,0.000000111758709,0.000000089406967,0.000000130385160,0.000000089406967,0.000000149011612
11,0.000000000001000,0.000000000001000,0.000000011175871,0.000000000001000,0.000000014901161
